metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1722883182,10.000000,,,,,,,,,,,,,,,,
vus_max,1722883182,10.000000,,,,,,,,,,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883182,665.000000,,,,,,,,,default,,,,,,,
data_received,1722883182,3685.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883182,1026.002900,,,,,,,,,default,,,,,,,
iterations,1722883182,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1722883182,1.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_duration,1722883182,10.272100,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_blocked,1722883182,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
